Serial,Event,Country,Code Region,Region,gid,Code District,District,Code Commune,Commune,Location,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.
277-01,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1991/11/22,(DI6Author : A.C. DI6Date : 5-00),Otra causa,33º,Cl - LN,6,,,1,,,,,,,,,,,,,,
2291-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1991/12/6,(DI6Author : F.Q. DI6Date : 5-00),Otra causa,33 4º,LN,5,,,1,,,,,,,,,,,,,,
175-01,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1992/2/19,52000 personas afectadas con cortes de energia electrica  falta de agua corriente  problemas de transito y en subtes (falta energia). (DI6Author : A.C. DI6Date : ),Otra causa,Ola de calor: 42 C sensacion termica  34 5 C de temperatura.,Cl,13,,,1,,,,,,,52000,,,,,,,
179-01,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1992/3/5,130000 afectados por cortes de energia electrica. (DI6Author : A.C. DI6Date : ),Otra causa,Ola de calor: 33 C.,LN,8,,,1,,,,,,,130000,,,,,,,
287-01,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1993/1/8,(DI6Author : A.C. DI6Date : ),Otra causa,,Cl,15,,,1,,,,,,,200000,,,,,,,
425-01,HEAT WAVE,Argentina,02,Capital Federal,2876,02001,I REC-RET-S.NIC,,,Centro de la ciudad,1994/12/9,Energia: corte en 780.000 Viv. (Cap. Fed. + GBA). Subtes suspendidos. Vías sin semáforos (caos). (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
425-02,HEAT WAVE,Argentina,02,Capital Federal,2876,02003,III MONS-CONST-BALV-S.CRIS,,,Constitucion,1994/12/9,Ver 425-01 (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
425-04,HEAT WAVE,Argentina,02,Capital Federal,2876,02009,IX PALERMO-COLEGIALES,,,Palermo,1994/12/9,Ver 425-01 (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
425-05,HEAT WAVE,Argentina,02,Capital Federal,2876,02007,VII CABALL-V.CRESPO,,,Caballito,1994/12/9,Ver 425-01. Falta agua potable (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,7,,,1,,,,,,,,,,,,,,
425-03,HEAT WAVE,Argentina,02,Capital Federal,2876,02010,X BELGR-NUÑEZ-SAAV-COGHL,,,Belgrano,1994/12/9,Ver 425-01. (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,6,,,1,,,,,,,,,,,,,,
425-06,HEAT WAVE,Argentina,02,Capital Federal,2876,02017,XVII DEVOTO-DEL PARQUE-REAL,,,Villa Devoto,1994/12/9,Ver 425-01 (DI6Author : A.C. DI6Date : ),Otra causa,,Cl,7,,,1,,,,,,,,,,,,,,
606-01,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,,1996/12/22,Cortes electricidad a 18.000 usuarios el 24/1º2 a la noche. Subestación Patricios fuera de servicio. Deshidratados e insolados. (DI6Author : A.C. DI6Date : ),Otra causa,Ola de calor por altas temperaturas. 42 C sensación térmica.,Cl,16,,,1,,,,,,,18000,,,,,,,
1109-a,HEAT WAVE,Argentina,02,Capital Federal,2876,02001,I REC-RET-S.NIC,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-b,HEAT WAVE,Argentina,02,Capital Federal,2876,02002,II ALMAG-BALV-RET-PAL,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-c,HEAT WAVE,Argentina,02,Capital Federal,2876,02003,III MONS-CONST-BALV-S.CRIS,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-f,HEAT WAVE,Argentina,02,Capital Federal,2876,02009,IX PALERMO-COLEGIALES,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-d,HEAT WAVE,Argentina,02,Capital Federal,2876,02006,VI BOEDO-BALV-S.CRIS-ALM,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-e,HEAT WAVE,Argentina,02,Capital Federal,2876,02007,VII CABALL-V.CRESPO,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-g,HEAT WAVE,Argentina,02,Capital Federal,2876,02010,X BELGR-NUÑEZ-SAAV-COGHL,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-h,HEAT WAVE,Argentina,02,Capital Federal,2876,02011,XI FLORES,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-k,HEAT WAVE,Argentina,02,Capital Federal,2876,02012,XII MITRE-S.RITA-FLORES,,,Floresta,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-i,HEAT WAVE,Argentina,02,Capital Federal,2876,02014,XIV PAT-CHAC-AGRON,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
1109-j,HEAT WAVE,Argentina,02,Capital Federal,2876,02022,XXI MATAD-LINIERS-LUGANO,,,,1998/12/1,Suspensión subtes A  C y E. Numerosos atrapados en ascensores. Hospitales reciben grupos electrógenos. Soc: Guardia de Auxilio  Bomberos  Policía. (DI6Author : A.C. DI6Date : ),Otra causa,Estallido subestación Edenor  31.9ºC  alto consumo energía.,Cl - LN,8,,,1,,,,,,,,,,,,,,
3485-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Indeterminado afecta a toda la Capital Federal,1999/3/8,Baja presión  lipotimia  deshidratación  pérdida de conocimiento  pérdida de fuerzas. El récord histórico para marzo fue de 37º9 en 1952. Masa de aire cálido y húmedo  de origen tropical  se instaló en el noroeste de Buenos Aires y el Litoral. (DI6Author : P.V. DI6Date : 06-Ene),Otra causa,Ola de Calor (33º4; 40ºST).,Cl - LN,8,,,1,,73,,,,,,,,,,,,
5458-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Toda la Capital Federal,2001/1/3,Barrios Devoto  Lugano  Liniers  Mataderos  Villa Urquiza y Villa Soldati sin luz (3000 personas). Inicio:3/01/01. Fin:10/01/01. Pico máx:5/01/01 36 7°C 46° Sensación Térmica. (DI6Author : D.L. DI6Date : 01/01/2001),Otra causa,Temperaturas altas,Cl - LN,14,,,1,,,,,,,3000,,,,,,,
8253-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Toda la Capital Federal,2002/2/26,Persona con deshidratación. (DI6Author : D.L. DI6Date : 23/02/2004),Otra causa,,LN,8,,,1,,1,,,,,,,,,,,,
5646-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Toda la capital federal,2002/3/27,80 personas atendidas por hipertension  lipotimia  golpes de calor. (DI6Author : D.L. DI6Date : 09/08/2002),Otra causa,38° C s.t. 36°C temp.,Cl - LN,8,,,1,,80,,,,,,,,,,,,
8640-a,HEAT WAVE,Argentina,02,Capital Federal,2876,,,,,Toda la Capital Federal,2003/1/31,Temperatura mínima más alta de la historia. Soc: SAME. (DI6Author : D.L. DI6Date : 06/11/2003),Otra causa,44º C. de sensación térmica,LN,10,,,1,,987,,,,,,,,,,,,
2706-a,HEAT WAVE,Argentina,10,Catamarca,582,10049,Capital,,,San Fernando del Valle de Catamarca,1987/12/1,Cortes de agua de red y de energía. Inicio: 28-11-1987  Fe.: 1-12-1987. (DI6Author : F.Q. DI6Date : 04-Ene),Otra causa,40 °C,Cl - LN,9,,,1,,,,,,,,,,,,,,
1906-a,HEAT WAVE,Argentina,10,Catamarca,582,10049,Capital,,,San Fernando del Valle de Catamarca,2005/1/7,Ola de calor en todo el país. Gral. pcia: una semana de 39º de calor  pico 07/01/05. (DI6Author : PGS DI6Date : 02/08),Otra causa,39º,LN,12,,,1,2,,,,,,,,,,,,,
1917-a,HEAT WAVE,Argentina,10,Catamarca,582,10049,Capital,,,San Fernando del Valle de Catamarca,2005/1/12,Mto: descompensación x calor. (DI6Author : PGS DI6Date : 02/08),Otra causa,42º,LN,7,,,1,1,,,,,,,,,,,,,
8642-a,HEAT WAVE,Argentina,30,Entre Rios,2921,30084,Parana,,,Paraná,2003/1/31,Casos de deshidratación por diarrea y vómitos  varios chicos con salpullido en la piel (sudamina) como consecuencia de las altas temperaturas. Soc: Hospital de niños. LN 1/2. (DI6Author : D.L. DI6Date : 06/11/2003),Otra causa,44º C. sensación térmica.,LN,7,,,1,,,,,,,,,,,,,,
2148-a,HEAT WAVE,Argentina,34,Formosa,1710,34014,Formosa,,,Formosa,1985/11/2,Cortes de eléctricos y agua potable (5 horas por día). Los + afec. niños y ancianos. El 22/11 se dio por terminado el año escolar. (DI6Author : F.Q. DI6Date : Dic-99),Otra causa,Altas temperaturas  44ºC,Cl - LN,16,,,1,,,,,,,,,,,,,,
1111-a,HEAT WAVE,Argentina,46,La Rioja,1181,46014,Capital,,,La Rioja,1998/12/5,Inicio: 2-12-98. Alta demanda provoca colapso del sistema energía eléctrica (Edelar  Exxel). Gran % de pozos de agua utilizan electricidad. (DI6Author : A.C. DI6Date : ),Otra causa,42ºC,Cl,9,,,1,,,,,,,,,,,,,,
1213-a,HEAT WAVE,Argentina,50,Mendoza,2620,50007,Capital,,,Mendoza,2003/1/30,Disminución del caudal de la red domiciliaria de agua potable. LN 31/1.// (DI6Author : MC DI6Date : 12-04),Otra causa,43°5 C,LN,5,,,1,,,,,,,,,,,,,,
1274-g,HEAT WAVE,Argentina,50,Mendoza,2620,50007,Capital,,,Mendoza,2003/9/5,Clases susp. LN 5/9. (DI6Author : MC DI6Date : 02-005),Otra causa,altas temperaturas  viento Zonda,LN,5,,,1,,,,,,,,,,,,,,
5100-a,HEAT WAVE,Argentina,54,Misiones,2871,54028,Capital,,,Posadas,1980/3/24,Suspensión de clases. Corte suministro de agua. (DI6Author : D.L. DI6Date : 07/11/01),Otra causa,Temperatura máxima de 38° C,Cl - LN,13,,,1,,,,,,,,,,,,,,
2142-a,HEAT WAVE,Argentina,54,Misiones,2871,54091,Obera,,,Obera,1985/11/1,Restricción agua potable. Años escolar finalizo 15 días antes. Los + afec. niños y ancianos. (DI6Author : F.Q. DI6Date : Dic-99),Otra causa,Altas temperaturas (17/11-43ºC),Cl - LN,20,,,1,2,10,,,,,,,,,,,,
5654-a,HEAT WAVE,Argentina,82,Santa Fe,2432,82063,La Capital,,,Ciudad de Santa Fe,2002/3/15,Susp. clases. Personas con problemas de salud por altas temperaturas. Fecha noticia 16/3. (DI6Author : D.L. DI6Date : 09/08/02),Otra causa,57°s.t. 50°C t.,LN,12,,,1,,,,,,,,,,,,,,
1210-a,HEAT WAVE,Argentina,82,Santa Fe,2432,82063,La Capital,,,Santa Fe,2003/1/18,Personas con golpe de calor.7 personas picadas por alacranes. Corte energía electrica por alto consumo. LN 18/1. (DI6Author : MC DI6Date : 11-04),Otra causa,54ºC de sensación térmica,LN,9,,,1,,,,,,,,,,,,,,
8641-a,HEAT WAVE,Argentina,82,Santa Fe,2432,82063,La Capital,,,Santa Fe,2003/1/31,Personas se quedan en sus casas. Se consumen más de 170.000.000 de litros de agua. 100 personas atendidas en los hospitales públicos con golpe de calor.  LN 31/1 y 1/2. (DI6Author : D.L. DI6Date : 06/11/2003),Otra causa,50º C de sensación térmica,LN,10,,Cierre de comercios,1,,100,,,,,,,,,,,,
5095-a,HEAT WAVE,Argentina,90,Tucuman,2401,90084,Capital,,,San Miguel de Tucumán,1980/3/22,Clases suspendidas. Personas descompuestas por calor. (DI6Author : D.L. DI6Date : 07/11/01),Otra causa,Temperatura máxima de 35° C.,LN,14,,,1,,160,,,,,,,,,,,,
24,HEAT WAVE,India,001IND019,Orissa,2015,001IND019002,Sundargarh,001IND019002013,Lathikata,Rourkela,1997/5/18,,OTHER,,Newspaper-Dharitri,,,,1,1,,,,,,,,,,,,,
59,HEAT WAVE,India,001IND019,Orissa,2015,001IND019010,Kalahandi,001IND019010001,Bhawanipatna,,1970/5/24,,OTHER,,"Newspaper-Samaj,Prajatantra",,,,1,2,,,,,,,,,,,,,
436,HEAT WAVE,India,001IND019,Orissa,2015,001IND019004,Mayurbhanj,,,,1972/5/20,118.4 farhenet in the mayurbhanj districts.That time all pond's and well were became dry.(sunstroke),OTHER,,Newspaper-Samaj,,,,1,3,,,,,,,,,,,,,
444,HEAT WAVE,India,001IND019,Orissa,2015,001IND019001,Sambalpur,,,,1972/5/23,Due to sunstroke.,OTHER,,Newspaper-Samaj,,,,1,10,,,,,,,,,,,,,
587,HEAT WAVE,India,001IND019,Orissa,2015,001IND019012,Ganjam,,,,1973/5/7,Due to sun stroke people could n't tolerate the heat wave.,OTHER,,Newspaper-Samaj,,,,1,5,,,,,,,,,,,,,
773,HEAT WAVE,India,001IND019,Orissa,2015,001IND019006,Cuttack,001IND019006006,Salepur,Chanipur village,1974/5/8,Due to sunstroke people and animals were died.,OTHER,,Newspaper-Samaj,,,,1,1,,,,,,,,,,,,,
10592,HEAT WAVE,India,001IND019,Orissa,2015,001IND019002,Sundargarh,001IND019002013,Lathikata,Rourkela.,1988/6/1,,OTHER,,Newspaper-Samaj,45 Degree Celsius.,,,1,2,,,,,,,,,,,,,
10596,HEAT WAVE,India,001IND019,Orissa,2015,001IND019009,Bolangir,001IND019009004,Titilagarh,Bolangir.,1988/6/3,,OTHER,,Newspaper-Samaj,48 Degree Celsius.,,,1,,3,,,,,,,,,,,,
10808,HEAT WAVE,India,001IND019,Orissa,2015,001IND019009,Bolangir,001IND019009004,Titilagarh,Titilagarh.,1989/5/17,,OTHER,,Newspaper-Samaj,46.5 degree celsius.,,,1,1,1,,,,,,,,,,,,
1358,HEAT WAVE,India,001IND019,Orissa,2015,001IND019010,Kalahandi,001IND019010008,Dharamgarh,,1970/5/27,Due to heavy heat wave peoples were died.,OTHER,,Newspaper-Prajatantra,,,,1,2,,,,,,,,,,,,,
